x,y
69,36
135,100
139,103
111,137
92,34
28,23
150,21
29,136
25,116
52,146
26,106
148,27
22,134
48,41
113,143
28,49
39,120
83,145
86,145
99,88
17,14
61,121
47,71
49,72
20,94
89,110
20,47
101,145
67,131
96,26
56,21
87,44
135,40
96,39
136,93
82,73
103,50
126,59
118,79
60,34
150,73
116,148
131,49
90,82
149,83
89,33
120,132
110,123
138,125
112,60
29,101
64,137
103,75
61,85
51,136
35,32
52,88
94,40
93,63
122,26
129,89
113,75
136,14
39,70
107,121
64,140
41,108
137,50
11,137
29,138
84,60
142,120
149,37
116,11
96,118
137,128
120,134
60,57
33,93
23,51
52,58
109,21
20,127
120,99
118,116
26,42
83,127
75,82
56,136
45,25
137,95
141,23
66,41
97,68
38,113
45,136
142,124
28,117
72,66
55,48
